Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINO
15,13,10,2,0,150,4,run out,1,West Indies,Napier,01-Mar-06,ODI # 2342
31,39,29,7,0,106.89,4,bowled,1,West Indies,Auckland,04-Mar-06,ODI # 2346
128*,191,133,12,4,96.24,3,not out,1,Sri Lanka,Napier,28-Dec-06,ODI # 2468
15,28,26,2,0,57.69,3,run out,2,Sri Lanka,Queenstown,31-Dec-06,ODI # 2469
0,6,4,0,0,0,3,caught,2,Sri Lanka,Christchurch,02-Jan-07,ODI # 2470
0,11,7,0,0,0,3,lbw,2,Sri Lanka,Auckland,06-Jan-07,ODI # 2471
TDNB,-,-,-,-,-,-,-,-,Sri Lanka,Hamilton,09-Jan-07,ODI # 2472
84,114,82,10,3,102.43,4,caught,2,Australia,Hobart,14-Jan-07,ODI # 2474
1,5,7,0,0,14.28,4,caught,1,England,Hobart,16-Jan-07,ODI # 2475
26,59,43,5,0,60.46,4,caught,1,Australia,Sydney,21-Jan-07,ODI # 2479
15,58,44,1,0,34.09,4,caught,1,England,Adelaide,23-Jan-07,ODI # 2482
39,61,50,2,0,78,4,bowled,2,Australia,Perth,28-Jan-07,ODI # 2488
71,117,81,7,1,87.65,4,caught,1,England,Perth,30-Jan-07,ODI # 2490
21,47,31,1,0,67.74,4,bowled,1,Australia,Melbourne,04-Feb-07,ODI # 2501
25,55,27,1,0,92.59,4,run out,2,England,Brisbane,06-Feb-07,ODI # 2510
DNB,-,-,-,-,-,-,-,2,Australia,Wellington,16-Feb-07,ODI # 2524
117,157,127,16,1,92.12,3,caught,2,Australia,Auckland,18-Feb-07,ODI # 2526
11,15,12,1,0,91.66,3,caught,2,Australia,Hamilton,20-Feb-07,ODI # 2527
0,4,1,0,0,0,3,caught,2,England,Gros Islet,16-Mar-07,ODI # 2536
85,146,107,8,1,79.43,3,caught,1,Kenya,Gros Islet,20-Mar-07,ODI # 2544
0,7,2,0,0,0,3,caught,1,Sri Lanka,St George's,12-Apr-07,ODI # 2569
10,22,17,1,0,58.82,3,lbw,2,South Africa,St George's,14-Apr-07,ODI # 2571
3,8,6,0,0,50,3,caught,2,Australia,St George's,20-Apr-07,ODI # 2577
9,43,25,1,0,36,3,lbw,2,Sri Lanka,Kingston,24-Apr-07,ODI # 2579
20,24,22,1,1,90.9,5,caught,1,South Africa,Durban,25-Nov-07,ODI # 2648
13*,15,10,2,0,130,5,not out,2,South Africa,Port Elizabeth,30-Nov-07,ODI # 2650
3,14,10,0,0,30,5,bowled,1,South Africa,Cape Town,02-Dec-07,ODI # 2652
50,69,52,1,3,96.15,5,caught,1,Australia,Adelaide,14-Dec-07,ODI # 2655
5*,15,8,0,0,62.5,5,not out,1,Australia,Sydney,16-Dec-07,ODI # 2656
13,15,19,1,0,68.42,5,lbw,2,Australia,Hobart,20-Dec-07,ODI # 2657
8,9,8,0,1,100,5,lbw,2,Bangladesh,Auckland,26-Dec-07,ODI # 2658
34*,48,24,2,1,141.66,5,not out,1,Bangladesh,Napier,28-Dec-07,ODI # 2659
DNB,-,-,-,-,-,-,-,2,Bangladesh,Queenstown,31-Dec-07,ODI # 2660
24*,51,39,2,1,61.53,4,not out,2,England,Wellington,09-Feb-08,ODI # 2674
DNB,-,-,-,-,-,-,-,2,England,Hamilton,12-Feb-08,ODI # 2677
31,84,49,1,1,63.26,4,lbw,1,England,Auckland,15-Feb-08,ODI # 2678
48,54,47,4,1,102.12,4,caught,2,England,Napier,20-Feb-08,ODI # 2682
41*,100,52,7,0,78.84,4,not out,2,England,Christchurch,23-Feb-08,ODI # 2684
20,46,34,1,0,58.82,4,caught,2,England,Chester-le-Street,15-Jun-08,ODI # 2708
25,28,21,5,0,119.04,3,caught,2,England,Birmingham,18-Jun-08,ODI # 2709
8,44,30,0,0,26.66,3,bowled,1,England,Bristol,21-Jun-08,ODI # 2710
6,22,15,1,0,40,3,caught,2,England,The Oval,25-Jun-08,ODI # 2714
4,18,15,0,0,26.66,3,caught,1,England,Lord's,28-Jun-08,ODI # 2720
59*,-,24,5,4,245.83,3,not out,1,Ireland,Aberdeen,01-Jul-08,ODI # 2727
61*,58,41,8,2,148.78,3,not out,2,Scotland,Aberdeen,03-Jul-08,ODI # 2731
2,7,4,0,0,50,4,caught,1,Bangladesh,Dhaka,09-Oct-08,ODI # 2763
33,93,54,2,2,61.11,4,caught,1,Bangladesh,Dhaka,11-Oct-08,ODI # 2764
103,174,119,5,4,86.55,4,caught,1,Bangladesh,Chattogram,14-Oct-08,ODI # 2765
TDNB,-,-,-,-,-,-,-,-,West Indies,Queenstown,31-Dec-08,ODI # 2786
13,32,20,0,0,65,4,caught,1,West Indies,Christchurch,03-Jan-09,ODI # 2787
51*,74,50,5,3,102,4,not out,2,West Indies,Wellington,07-Jan-09,ODI # 2788
75,99,87,6,1,86.2,4,bowled,1,West Indies,Auckland,10-Jan-09,ODI # 2789
48*,107,71,3,0,67.6,4,not out,2,West Indies,Napier,13-Jan-09,ODI # 2792
64,175,97,6,1,65.97,4,caught,2,Australia,Perth,01-Feb-09,ODI # 2811
47,112,74,3,0,63.51,4,caught,2,Australia,Melbourne,06-Feb-09,ODI # 2816
4,3,2,1,0,200,3,lbw,2,Australia,Sydney,08-Feb-09,ODI # 2817
76,115,71,6,2,107.04,4,caught,1,Australia,Adelaide,10-Feb-09,ODI # 2819
4,6,3,1,0,133.33,4,caught,2,Australia,Brisbane,13-Feb-09,ODI # 2820
31,31,24,3,0,129.16,4,caught,2,India,Napier,03-Mar-09,ODI # 2821
TDNB,-,-,-,-,-,-,-,-,India,Wellington,06-Mar-09,ODI # 2822
7,9,6,1,0,116.66,3,run out,2,India,Christchurch,08-Mar-09,ODI # 2823
5,11,13,0,0,38.46,3,caught,1,India,Hamilton,11-Mar-09,ODI # 2824
28*,37,33,4,1,84.84,4,not out,2,India,Auckland,14-Mar-09,ODI # 2825
2,3,4,0,0,50,4,lbw,2,Sri Lanka,Colombo (RPS),08-Sep-09,ODI # 2884
11,15,15,2,0,73.33,4,caught,1,India,Colombo (RPS),11-Sep-09,ODI # 2886
72,138,106,6,2,67.92,4,lbw,1,South Africa,Centurion,24-Sep-09,ODI # 2895
4,4,2,1,0,200,4,caught,1,Sri Lanka,Johannesburg,27-Sep-09,ODI # 2899
1,4,3,0,0,33.33,4,caught,2,England,Johannesburg,29-Sep-09,ODI # 2902
38,89,61,1,2,62.29,4,bowled,2,Pakistan,Johannesburg,03-Oct-09,ODI # 2906
6,19,13,0,0,46.15,4,caught,1,Australia,Centurion,05-Oct-09,ODI # 2907
0,1,5,0,0,0,4,caught,2,Pakistan,Abu Dhabi,03-Nov-09,ODI # 2921
0,2,2,0,0,0,4,bowled,1,Pakistan,Abu Dhabi,06-Nov-09,ODI # 2924
44,78,69,0,1,63.76,4,lbw,1,Pakistan,Abu Dhabi,09-Nov-09,ODI # 2927
51,85,52,4,2,98.07,4,caught,1,Bangladesh,Napier,05-Feb-10,ODI # 2949
78,85,52,6,5,150,4,caught,2,Bangladesh,Dunedin,08-Feb-10,ODI # 2951
3,15,10,0,0,30,4,stumped,2,Bangladesh,Christchurch,11-Feb-10,ODI # 2953
70,99,71,6,1,98.59,4,caught,2,Australia,Napier,03-Mar-10,ODI # 2966
62,90,66,4,2,93.93,4,caught,1,Australia,Hamilton,09-Mar-10,ODI # 2971
15,53,37,1,0,40.54,3,caught,1,Australia,Auckland,11-Mar-10,ODI # 2973
30,68,55,3,0,54.54,3,caught,1,Australia,Wellington,13-Mar-10,ODI # 2975
95,173,113,8,1,84.07,3,lbw,1,India,Dambulla,10-Aug-10,ODI # 3030
16,46,34,2,0,47.05,3,lbw,1,Sri Lanka,Dambulla,13-Aug-10,ODI # 3031
TDNB,-,-,-,-,-,-,-,-,Sri Lanka,Dambulla,19-Aug-10,ODI # 3037
8,21,14,2,0,57.14,3,caught,2,India,Dambulla,25-Aug-10,ODI # 3039
42,88,56,1,1,75,4,lbw,2,Bangladesh,Dhaka,05-Oct-10,ODI # 3051
62*,123,72,3,4,86.11,4,not out,1,Bangladesh,Dhaka,11-Oct-10,ODI # 3054
3,5,3,0,0,100,4,caught,2,Bangladesh,Dhaka,14-Oct-10,ODI # 3056
3,25,9,0,0,33.33,4,bowled,2,Bangladesh,Dhaka,17-Oct-10,ODI # 3058
66,102,69,3,3,95.65,4,caught,2,India,Guwahati,28-Nov-10,ODI # 3070
15,29,23,0,1,65.21,4,caught,1,India,Jaipur,01-Dec-10,ODI # 3072
4,25,16,0,0,25,4,caught,1,India,Vadodara,04-Dec-10,ODI # 3074
44,112,73,3,0,60.27,4,lbw,1,India,Bengaluru,07-Dec-10,ODI # 3076
9,10,9,2,0,100,4,caught,1,India,Chennai,10-Dec-10,ODI # 3077
23*,28,29,2,1,79.31,3,not out,2,Pakistan,Wellington,22-Jan-11,ODI # 3085
TDNB,-,-,-,-,-,-,-,-,Pakistan,Queenstown,26-Jan-11,ODI # 3088
6,18,14,0,0,42.85,3,caught,2,Pakistan,Christchurch,29-Jan-11,ODI # 3090
4,10,5,1,0,80,3,caught,1,Pakistan,Napier,01-Feb-11,ODI # 3093
69,116,91,4,1,75.82,4,lbw,2,Pakistan,Hamilton,03-Feb-11,ODI # 3095
5,16,10,0,0,50,4,caught,1,Pakistan,Auckland,05-Feb-11,ODI # 3097
DNB,-,-,-,-,-,-,-,2,Kenya,Chennai,20-Feb-11,ODI # 3101
7,45,22,1,0,31.81,4,bowled,1,Australia,Nagpur,25-Feb-11,ODI # 3107
DNB,-,-,-,-,-,-,-,2,Zimbabwe,Ahmedabad,04-Mar-11,ODI # 3117
131*,171,124,8,7,105.64,4,not out,1,Pakistan,Pallekele,08-Mar-11,ODI # 3123
74,60,44,6,5,168.18,4,caught,1,Canada,Mumbai,13-Mar-11,ODI # 3129
33,72,55,3,1,60,4,lbw,2,Sri Lanka,Mumbai,18-Mar-11,ODI # 3137
43,113,72,1,1,59.72,4,caught,1,South Africa,Dhaka,25-Mar-11,ODI # 3144
36,90,55,1,0,65.45,4,caught,1,Sri Lanka,Colombo (RPS),29-Mar-11,ODI # 3146
DNB,-,-,-,-,-,-,-,2,Zimbabwe,Harare,20-Oct-11,ODI # 3204
11,14,15,1,0,73.33,4,caught,2,Zimbabwe,Harare,22-Oct-11,ODI # 3206
119,177,126,9,3,94.44,4,bowled,1,Zimbabwe,Bulawayo,25-Oct-11,ODI # 3209
110,185,115,6,5,95.65,4,caught,2,West Indies,Basseterre,14-Jul-12,ODI # 3289
28,56,38,3,0,73.68,4,stumped,2,West Indies,Basseterre,16-Jul-12,ODI # 3290
72,89,62,7,2,116.12,4,caught,1,Sri Lanka,Pallekele,04-Nov-12,ODI # 3305
7,17,16,1,0,43.75,4,run out,1,Sri Lanka,Pallekele,06-Nov-12,ODI # 3306
6,18,17,0,0,35.29,4,caught,1,Sri Lanka,Hambantota,10-Nov-12,ODI # 3307
TDNB,-,-,-,-,-,-,-,-,Sri Lanka,Hambantota,12-Nov-12,ODI # 3308
22,57,38,3,0,57.89,4,caught,2,England,Hamilton,17-Feb-13,ODI # 3335
100,180,117,9,1,85.47,4,caught,1,England,Napier,20-Feb-13,ODI # 3336
28,82,52,2,0,53.84,4,caught,1,England,Auckland,23-Feb-13,ODI # 3338
54,99,77,9,0,70.12,4,caught,2,England,Lord's,31-May-13,ODI # 3360
60,72,54,3,2,111.11,4,caught,1,England,Southampton,02-Jun-13,ODI # 3361
71,148,84,2,3,84.52,4,caught,2,England,Nottingham,05-Jun-13,ODI # 3362
0,5,4,0,0,0,4,lbw,2,Sri Lanka,Cardiff,09-Jun-13,ODI # 3366
9*,30,23,0,0,39.13,4,not out,2,Australia,Birmingham,12-Jun-13,ODI # 3369
3,15,6,0,0,50,4,lbw,2,England,Cardiff,16-Jun-13,ODI # 3373
8,21,14,2,0,57.14,4,caught,2,Bangladesh,Dhaka,29-Oct-13,ODI # 3423
45,124,82,2,1,54.87,4,caught,2,Bangladesh,Dhaka,31-Oct-13,ODI # 3426
107*,149,93,9,3,115.05,4,not out,1,Bangladesh,Fatullah,03-Nov-13,ODI # 3429
3,13,10,0,0,30,4,run out,1,West Indies,Auckland,26-Dec-13,ODI # 3449
9,13,8,1,0,112.5,4,caught,1,West Indies,Queenstown,01-Jan-14,ODI # 3451
49,69,44,5,0,111.36,4,run out,1,West Indies,Nelson,04-Jan-14,ODI # 3452
9,20,15,0,0,60,4,caught,2,West Indies,Hamilton,08-Jan-14,ODI # 3453
55,109,82,1,0,67.07,4,caught,1,India,Napier,19-Jan-14,ODI # 3456
57,79,56,7,0,101.78,4,caught,1,India,Hamilton,22-Jan-14,ODI # 3458
17,43,18,2,0,94.44,5,run out,1,India,Auckland,25-Jan-14,ODI # 3462
112*,152,127,15,0,88.18,4,not out,2,India,Hamilton,28-Jan-14,ODI # 3465
102,148,106,10,1,96.22,4,caught,1,India,Wellington,31-Jan-14,ODI # 3467
105*,171,135,9,1,77.77,4,not out,1,Pakistan,Dubai (DSC),08-Dec-14,ODI # 3564
2,9,3,0,0,66.66,4,caught,2,Pakistan,Sharjah,12-Dec-14,ODI # 3566
31,31,25,1,3,124,4,bowled,2,Pakistan,Sharjah,14-Dec-14,ODI # 3568
26,50,37,2,0,70.27,4,caught,1,Pakistan,Abu Dhabi,17-Dec-14,ODI # 3570
88*,124,95,5,1,92.63,4,not out,1,Pakistan,Abu Dhabi,19-Dec-14,ODI # 3571
34,96,69,2,0,49.27,4,caught,1,Sri Lanka,Hamilton,15-Jan-15,ODI # 3577
3,9,8,0,0,37.5,4,lbw,1,Sri Lanka,Auckland,17-Jan-15,ODI # 3580
8,29,23,0,0,34.78,4,caught,2,Sri Lanka,Nelson,20-Jan-15,ODI # 3585
20,33,23,3,0,86.95,4,caught,1,Sri Lanka,Dunedin,23-Jan-15,ODI # 3588
96,141,102,7,2,94.11,4,lbw,1,Sri Lanka,Dunedin,25-Jan-15,ODI # 3590
11,35,22,1,0,50,4,bowled,2,Sri Lanka,Wellington,29-Jan-15,ODI # 3594
59*,119,81,4,0,72.83,4,not out,2,Pakistan,Wellington,31-Jan-15,ODI # 3596
102*,111,70,13,2,145.71,4,not out,1,Pakistan,Napier,03-Feb-15,ODI # 3598
14,49,28,0,0,50,4,stumped,1,Sri Lanka,Christchurch,14-Feb-15,ODI # 3599
9,15,14,1,0,64.28,4,caught,2,Scotland,Dunedin,17-Feb-15,ODI # 3604
5*,14,5,1,0,100,4,not out,2,England,Wellington,20-Feb-15,ODI # 3607
1,-,2,0,0,50,4,bowled,2,Australia,Auckland,28-Feb-15,ODI # 3617
24*,76,41,2,0,58.53,4,not out,2,Afghanistan,Napier,08-Mar-15,ODI # 3628
56,161,97,5,0,57.73,4,lbw,2,Bangladesh,Hamilton,13-Mar-15,ODI # 3634
42,92,61,2,0,68.85,4,run out,1,West Indies,Wellington,21-Mar-15,ODI # 3643
30,57,39,4,0,76.92,4,caught,2,South Africa,Auckland,24-Mar-15,ODI # 3644
40,104,72,2,0,55.55,4,caught,1,Australia,Melbourne,29-Mar-15,ODI # 3646
57,100,54,5,1,105.55,4,lbw,2,England,Birmingham,09-Jun-15,ODI # 3654
119*,146,96,10,4,123.95,4,not out,1,England,The Oval,12-Jun-15,ODI # 3655
110,173,123,12,0,89.43,4,bowled,2,England,Southampton,14-Jun-15,ODI # 3656
42,63,55,3,0,76.36,4,lbw,1,England,Nottingham,17-Jun-15,ODI # 3657
47,93,63,2,0,74.6,4,caught,1,England,Chester-le-Street,20-Jun-15,ODI # 3659
112*,168,122,6,3,91.8,4,not out,1,Zimbabwe,Harare,02-Aug-15,ODI # 3673
DNB,-,-,-,-,-,-,-,2,Zimbabwe,Harare,04-Aug-15,ODI # 3674
5*,19,9,0,0,55.55,4,not out,2,Sri Lanka,Christchurch,26-Dec-15,ODI # 3714
DNB,-,-,-,-,-,-,-,2,Sri Lanka,Christchurch,28-Dec-15,ODI # 3715
0,2,2,0,0,0,4,caught,1,Sri Lanka,Nelson,31-Dec-15,ODI # 3717
20*,18,14,3,0,142.85,4,not out,1,Sri Lanka,Nelson,02-Jan-16,ODI # 3718
61,103,67,4,1,91.04,4,caught,1,Sri Lanka,Mount Maunganui,05-Jan-16,ODI # 3721
0,7,1,0,0,0,4,caught,1,India,Dharamsala,16-Oct-16,ODI # 3796
21,44,42,2,0,50,4,caught,1,India,Delhi,20-Oct-16,ODI # 3797
44,56,57,4,1,77.19,4,stumped,1,India,Mohali,23-Oct-16,ODI # 3798
35,85,58,1,0,60.34,4,run out,1,India,Ranchi,26-Oct-16,ODI # 3799
19,38,32,1,0,59.37,4,caught,2,India,Visakhapatnam,29-Oct-16,ODI # 3800
16,38,24,1,0,66.66,4,bowled,1,Australia,Auckland,30-Jan-17,ODI # 3829
107,147,101,13,0,105.94,4,caught,1,Australia,Hamilton,05-Feb-17,ODI # 3832
1,4,3,0,0,33.33,4,caught,1,South Africa,Hamilton,19-Feb-17,ODI # 3836
102*,164,110,8,0,92.72,4,not out,1,South Africa,Christchurch,22-Feb-17,ODI # 3839
18,54,40,2,0,45,4,lbw,2,South Africa,Wellington,25-Feb-17,ODI # 3841
66,140,97,7,1,68.04,4,caught,2,South Africa,Hamilton,01-Mar-17,ODI # 3843
8,20,12,1,0,66.66,4,lbw,1,South Africa,Auckland,04-Mar-17,ODI # 3846
52,-,60,5,0,86.66,4,caught,1,Ireland,Dublin (Malahide),14-May-17,ODI # 3867
25,-,40,1,0,62.5,4,lbw,2,Bangladesh,Dublin,17-May-17,ODI # 3868
57,-,64,6,0,89.06,4,caught,1,Ireland,Dublin (Malahide),21-May-17,ODI # 3870
60*,-,56,6,0,107.14,4,not out,1,Bangladesh,Dublin,24-May-17,ODI # 3871
46,76,58,6,0,79.31,4,caught,1,Australia,Birmingham,02-Jun-17,ODI # 3876
39,95,59,3,0,66.1,4,caught,2,England,Cardiff,06-Jun-17,ODI # 3880
63,106,82,6,0,76.82,4,caught,1,Bangladesh,Cardiff,09-Jun-17,ODI # 3883
95,167,100,8,0,95,4,caught,2,India,Mumbai,22-Oct-17,ODI # 3928
21,43,33,2,0,63.63,4,caught,1,India,Pune,25-Oct-17,ODI # 3931
39,71,47,3,0,82.97,4,caught,2,India,Kanpur,29-Oct-17,ODI # 3932
49*,120,76,2,0,64.47,4,not out,2,West Indies,Whangarei,20-Dec-17,ODI # 3943
57,90,66,5,0,86.36,4,caught,1,West Indies,Christchurch,23-Dec-17,ODI # 3944
47*,82,54,6,0,87.03,4,not out,1,West Indies,Christchurch,26-Dec-17,ODI # 3945
12,29,14,0,0,85.71,4,bowled,1,Pakistan,Wellington,06-Jan-18,ODI # 3946
45*,60,43,4,0,104.65,4,not out,2,Pakistan,Nelson,09-Jan-18,ODI # 3947
52,98,64,4,0,81.25,4,lbw,1,Pakistan,Dunedin,13-Jan-18,ODI # 3949
1,5,4,0,0,25,4,lbw,2,Pakistan,Hamilton,16-Jan-18,ODI # 3953
59,108,73,3,0,80.82,4,bowled,1,Pakistan,Wellington,19-Jan-18,ODI # 3957
113,162,116,12,0,97.41,4,stumped,2,England,Hamilton,25-Feb-18,ODI # 3980
10,50,26,0,0,38.46,4,run out,1,England,Mount Maunganui,28-Feb-18,ODI # 3981
181*,213,147,17,6,123.12,4,not out,2,England,Dunedin,07-Mar-18,ODI # 3989
80,-,112,5,0,71.42,4,bowled,1,Pakistan,Abu Dhabi,07-Nov-18,ODI # 4066
86*,-,120,3,1,71.66,4,not out,1,Pakistan,Abu Dhabi,09-Nov-18,ODI # 4068
DNB,-,-,-,-,-,-,-,2,Pakistan,Dubai (DSC),11-Nov-18,ODI # 4070
54,-,37,6,2,145.94,4,caught,1,Sri Lanka,Mount Maunganui,03-Jan-19,ODI # 4074
90,-,105,4,1,85.71,4,run out,1,Sri Lanka,Mount Maunganui,05-Jan-19,ODI # 4075
137,-,131,9,4,104.58,4,caught,1,Sri Lanka,Nelson,08-Jan-19,ODI # 4076
24,48,41,3,0,58.53,4,caught,1,India,Napier,23-Jan-19,ODI # 4082
22,43,25,2,0,88,4,stumped,2,India,Mount Maunganui,26-Jan-19,ODI # 4085
93,181,106,9,0,87.73,4,caught,1,India,Mount Maunganui,28-Jan-19,ODI # 4088
37*,36,25,2,3,148,4,not out,2,India,Hamilton,31-Jan-19,ODI # 4091
1,7,4,0,0,25,4,lbw,2,India,Wellington,03-Feb-19,ODI # 4092
45*,72,49,6,0,91.83,4,not out,2,Bangladesh,Napier,13-Feb-19,ODI # 4093
21*,33,20,3,0,105,4,not out,2,Bangladesh,Christchurch,16-Feb-19,ODI # 4094
69,109,82,7,0,84.14,4,caught,1,Bangladesh,Dunedin,20-Feb-19,ODI # 4095
DNB,-,-,-,-,-,-,-,2,Sri Lanka,Cardiff,01-Jun-19,ODI # 4145
82,122,91,9,0,90.1,4,caught,2,Bangladesh,The Oval,05-Jun-19,ODI # 4151
48,74,52,6,1,92.3,4,bowled,2,Afghanistan,Taunton,08-Jun-19,ODI # 4154
1,6,2,0,0,50,4,caught,2,South Africa,Birmingham,19-Jun-19,ODI # 4165
69,148,95,7,0,72.63,4,caught,1,West Indies,Manchester,22-Jun-19,ODI # 4170
3,14,8,0,0,37.5,4,caught,1,Pakistan,Birmingham,26-Jun-19,ODI # 4174
30,76,54,2,0,55.55,4,caught,2,Australia,Lord's,29-Jun-19,ODI # 4178
28,54,42,2,0,66.66,4,run out,2,England,Chester-le-Street,03-Jul-19,ODI # 4183
74,130,90,3,1,82.22,4,run out,1,India,Manchester,09-Jul-19,ODI # 4190
15,47,31,0,0,48.38,4,lbw,1,England,Lord's,14-Jul-19,ODI # 4192
